Kod Hybrydy;Archetyp (Klasa);Motto (Vibe);Twoja Supermoc (Skillset);Błędy Systemowe (Słabości);Questy (Ścieżki Kariery)
RI (Maker+Hacker);Inżynier Systemowy;"""Jeśli coś działa, rozkręcę to, żeby zobaczyć dlaczego.""";"Masz ""Rentgen w oczach"". Rozumiesz fizykę przedmiotów. Łączysz manualną precyzję z teorią naukową. Potrafisz naprawić wszystko – od tostera po serwerownię.";Skupiasz się na sprzęcie, ignorując ludzi. Możesz spędzić tydzień w warsztacie, zapominając o jedzeniu.;DevOps, Robotyka, Chirurg, Architekt Cloud, Mechatronik.
RA (Maker+Creator);Rzemieślnik (Artisan);"""Technologia to moja sztuka.""";Twoje dzieła są nie tylko użyteczne, ale i piękne. Dbasz o detale, których nikt inny nie widzi (szew, tekstura, cable management). Perfekcjonista formy.;"Nadwrażliwość na krytykę. Traktujesz swoją pracę zbyt osobiście. Trudno Ci oddać projekt (""jeszcze nie jest idealny"").";UX/UI Designer (Hardware), Szef Kuchni (Fine Dining), Lutnik, Architekt, Sound Designer.
RS (Maker+Mentor);Instruktor;"""Pokażę Ci jak to zrobić, patrz na ręce.""";Nie gadasz, tylko robisz. Uczysz przez demonstrację. Masz cierpliwość do ciała (rehabilitacja) i narzędzi. Ludzie czują się przy Tobie bezpiecznie fizycznie.;Nie lubisz teoretyzować. Pisanie raportów i wykłady Cię męczą. Wolisz działać w terenie niż na Zoomie.;Fizjoterapeuta, Trener Personalny, Ratownik Medyczny, Nauczyciel Zawodu, Trener e-sportu.
RE (Maker+Hustler);Generalny Wykonawca;"""Ja to zbuduję, Ty zapłacisz.""";Widzisz świat jako zasoby do przetworzenia. Umiesz wycenić swoją pracę i zarządzać ekipą. Budujesz rzeczy, które generują zysk. Konkretny biznes.;Bywasz szorstki. Traktujesz ludzi jak narzędzia do wykonania zadania. Ryzyko pracoholizmu fizycznego.;Deweloper, Producent Eventów, Właściciel Warsztatu/Fabryki, Logistyk, Szef Kuchni.
RC (Maker+Admin);Operator;"""Procedura startowa: 3, 2, 1...""";Precyzja robota. Lubisz jasne instrukcje i powtarzalność. Jesteś mistrzem sterowania skomplikowanymi maszynami, gdzie błąd kosztuje życie lub miliony.;Brak elastyczności. Gdy sytuacja wymaga improwizacji (brak instrukcji), możesz się zaciąć. Panika w chaosie.;Pilot, Kontroler Ruchu Lotniczego, Specjalista Cybersec (Red Team), Tester QA, Maszynista.
IR (Hacker+Maker);Wynalazca (R&D);"""Teoria jest nudna, zbudujmy prototyp.""";"Twoje laboratorium to garaż. Nie wierzysz na słowo – musisz przetestować. Najlepszy w rozwiązywaniu problemów technicznych, które ""nie mają rozwiązania"".";"""Syndrom Piwnicy"". Możesz stworzyć genialny wynalazek, o którym nikt się nie dowie, bo nie umiesz o nim opowiadać.";Inżynier R&D, Programista Backend, Analityk Kryminalistyczny, Geolog, Biohacker.
IA (Hacker+Creator);Futurysta;"""Dane to nowa farba.""";Używasz nauki do tworzenia nowych światów. Widzisz trendy, zanim staną się modne. Łączysz kod z filozofią. Twórca AI, pisarz Sci-Fi.;Odrywanie się od ziemi. Twoje pomysły mogą być tak abstrakcyjne, że nikt ich nie zrozumie (i nie kupi).;Prompt Engineer, Data Scientist, Pisarz SF, Game Designer (Systemy), Strateg Marketingowy.
IS (Hacker+Mentor);Diagnosta;"""Wyleczę Cię, ale najpierw pokaż wyniki.""";"Empatia oparta na wiedzy. Pomagasz ludziom, ale nie przez ""przytulanie"", tylko przez trafną diagnozę i plan naprawczy. Autorytet merytoryczny.";Chłód emocjonalny. Czasem traktujesz człowieka jak zagadkę do rozwiązania, a nie jak osobę.;Lekarz Specjalista, Psycholog Kliniczny, Konsultant Biznesowy, Dietetyk, Doradca Finansowy.
IE (Hacker+Hustler);Mastermind;"""Wiedza to najdroższy towar świata.""";Nie zgadujesz – wyliczasz sukces. Używasz informacji, by zyskać przewagę konkurencyjną. Strateg, który wygrywa wojny, zanim się zaczną.;Cynizm. Patrzysz na świat tylko przez pryzmat statystyki i zysku. Ryzyko manipulacji danymi.;Inwestor Giełdowy (Quant), Dyrektor Strategii (CSO), Growth Hacker, Detektyw, Analityk Giełdowy.
IC (Hacker+Admin);Audytor;"""Błąd w linii 458. Znalazłem go.""";Strażnik Jakości. Twoje oko wyłapie każdą niespójność. Uwielbiasz duże zbiory danych i szukanie igły w stogu siana.;Paraliż analityczny. Możesz utknąć na sprawdzaniu detali i nigdy nie podjąć ostatecznej decyzji.;Tester Penetracyjny, Analityk Big Data, Statystyk, Farmaceuta, Edytor Wikipedii.
