Domena;Kod;Cecha;LVL;Archetyp (Gen Z);Opis Sytuacyjny (Specifics);Zadanie (Action Item)
Neurotyczność;N1;Lęk;High;Symulator Katastrof;"Twój mózg streamuje horrory w 4K. Przed wyjściem sprawdzasz 3 razy, czy zamknąłeś drzwi. W nocy analizujesz rozmowę sprzed 2 lat (""Mogłem powiedzieć to inaczej""). Jesteś przygotowany na apokalipsę, która nigdy nie nadejdzie.";"Gdy wkręcasz sobie film, zadaj pytanie: ""Jakie są twarde dowody, że to się stanie?"". Zapisz: 0 dowodów = fałszywy alarm."
Neurotyczność;N1;Lęk;Low;Iceman;Dom płonie, a Ty spokojnie szukasz gaśnicy. Ludzie panikują przed egzaminem, a Tobie nawet nie skacze tętno. Czasem inni myślą, że jesteś nieodpowiedzialny, bo nie trzęsiesz się nad problemami.;"Ustaw przypomnienia w telefonie o rzeczach krytycznych (klucze, dokumenty), bo Twój mózg nie generuje naturalnego lęku ""że zapomnisz""."
Neurotyczność;N2;Gniew;High;Berserker;Masz krótki lont. Lagujący internet albo głupi komentarz nauczyciela potrafi zepsuć Ci humor na pół dnia. Czujesz fizyczny ból, gdy musisz milczeć, widząc niesprawiedliwość. Walczysz ostro, potem żałujesz.;"Zainstaluj apkę do medytacji (np. Headspace) albo kup worek bokserski. Musisz fizycznie ""wybić"" z siebie kortyzol."
Neurotyczność;N2;Gniew;Low;Pacyfista;"Trudno Cię wkurzyć. Kiedy ktoś na Ciebie krzyczy, zastanawiasz się: ""Ciekawe dlaczego ma zły dzień?"". Wybaczasz szybciej, niż inni zdążą przeprosić.";"Nie pozwalaj ludziom wchodzić sobie na głowę. Jeśli ktoś Cię obraża, powiedz chłodno: ""Nie podoba mi się to"". To wystarczy."
Neurotyczność;N3;Depresyjność;High;Gotyk;"Czujesz ""Weltschmerz"" (ból istnienia). Mała porażka (jedynka, kosz od dziewczyny) sprawia, że chcesz leżeć pod kołdrą przez tydzień. Widzisz świat w ciemniejszych barwach niż inni.";"Stwórz ""Apteczkę Ratunkową"": Playlista + Ulubione jedzenie + Telefon do przyjaciela. Użyj NATYCHMIAST, gdy czujesz zjazd."
Neurotyczność;N3;Depresyjność;Low;Teflon;"Smutek spływa po Tobie jak woda. Nie rozpamiętujesz porażek. ""Trudno, stało się"". Czasem nie rozumiesz, dlaczego Twoi znajomi robią dramę z błahostek.";"Kiedy ktoś płacze, nie mów ""będzie dobrze"". Usiądź i nic nie mów. To lepsze niż tanie pocieszanie."
Neurotyczność;N4;Nadświadomość;High;Reflektor;Masz wrażenie, że wszyscy na Ciebie patrzą. Boisz się jeść publicznie albo wejść spóźniony do klasy. Wstyd to Twoja dominująca emocja. Ubierasz się tak, żeby wtopić się w tło.;Wyzwanie: Wejdź do sklepu w dwóch różnych skarpetkach. Zobaczysz, że NIKT tego nie zauważy. Ludzie patrzą tylko na siebie.
Neurotyczność;N4;Nadświadomość;Low;Punk;"Masz absolutnie wywalone na opinię publiczną. Możesz wyjść w piżamie do Żabki. Taniec na środku ulicy? Czemu nie. Jesteś wolny od ""cringe'u"".";Uważaj na kontekst. To, że Tobie jest wygodnie, nie znaczy, że pasuje na pogrzebie czy rozmowie o pracę.
Neurotyczność;N5;Impulsywność;High;Dziecko Wojny;"Widzisz ciastko -> jesz ciastko. Widzisz promocję na Steam -> kupujesz. Twoja silna wola kapituluje przed dopaminą. Często rzucasz: ""Od jutra dieta/nauka"".";Nie polegaj na woli. Usuń TikToka, oddaj kartę płatniczą mamie. Zbuduj mur między sobą a pokusą.
Neurotyczność;N5;Impulsywność;Low;Mnich;Potrafisz odmówić pizzy, gdy jesteś głodny, bo masz trening. Odkładasz kasę miesiącami na konkretny cel. Jesteś odporny na reklamy i chwilowe zachcianki.;Pozwól sobie czasem na małe szaleństwo. Życie pod linijkę bywa nudne. Zaplanuj jeden dzień totalnego luzu w miesiącu.
